Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Set pieces / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2024-10-06,Creighton Bluejays - UCONN Huskies 2:1,United States. NCAA D1 Big East (W),94,UCONN Huskies,4-2-3-1 (100.0%),1,1.23,19,4,21.05,426,318,74.65,59.9,143,18,46,79,115,35,57,23,324,154,47.53,14,2,14.29,44,13,29.55,0,0,0,25,5,20,7,4,57.14,8,1,12.5,0,0,0,16,6,37.5,6,5,18,2,6,16,140,41,29.29,0,2,12,5,41.67,96,75,78.13,54,27,50,0,0,0,54,17,8,0,0,183,121,66.12,58,53,91.38,123,101,82.11,61,26,42.62,82,47,57.32,95,67,70.53,3,2,66.67,30,26,86.67,5,14.39,2.98,14.32,22.47,18.86,4.06
2024-10-06,Creighton Bluejays - UCONN Huskies 2:1,United States. NCAA D1 Big East (W),94,Creighton Bluejays,4-4-1-1 (100.0%),2,1.31,12,5,41.67,277,171,61.73,40.1,163,36,64,63,95,49,35,11,324,147,45.37,5,3,60,29,10,34.48,0,0,0,23,2,8.7,1,1,100,4,1,25,0,0,0,8,2,25,2,2,14,1,7,8,96,21,21.88,0,1,19,4,21.05,140,99,70.71,54,16,29.63,1,1,100,58,25,13,0,0,137,65,47.45,35,29,82.86,68,52,76.47,79,38,48.1,49,23,46.94,82,42,51.22,0,0,0,33,24,72.73,16,13.98,2.15,28.52,17.58,19.93,11
2024-10-04,UCONN Huskies - Providence Friars 1:0,United States. NCAA D1 Big East (W),100,UCONN Huskies,4-2-3-1 (100.0%),1,1.11,12,7,58.33,409,318,77.75,48.69,139,16,45,78,112,35,52,25,291,140,48.11,7,3,42.86,57,11,19.3,0,0,0,17,1,5.88,3,0,0,4,1,25,0,0,0,24,6,25,5,3,28,6,14,14,123,37,30.08,2,0,3,0,0,116,82,70.69,31,16,51.61,3,1,33.33,54,18,15,1,0,154,106,68.83,59,59,100,144,120,83.33,67,34,50.75,63,36,57.14,81,58,71.6,4,1,25,38,35,92.11,5,15.09,3.17,16.38,18.06,20.95,4.67
2024-10-04,UCONN Huskies - Providence Friars 1:0,United States. NCAA D1 Big East (W),100,Providence Friars,4-4-2 (100.0%),0,0.13,3,0,0,420,299,71.19,51.31,156,42,61,53,98,56,33,9,291,144,49.48,1,0,0,28,3,10.71,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0,12,4,33.33,4,0,16,1,7,7,115,33,28.7,3,1,12,7,58.33,124,86,69.35,31,12,38.71,2,1,50,52,26,8,2,0,152,81,53.29,50,44,88,160,129,80.63,60,18,30,50,24,48,87,38,43.68,0,0,0,36,30,83.33,8,14.71,3.13,14.29,21.81,19.8,9.1
2024-09-29,UCONN Huskies - Georgetown Hoyas 1:3,United States. NCAA D1 Big East (W),96,UCONN Huskies,4-2-3-1 (100.0%),1,1.36,12,3,25,420,292,69.52,48.26,156,25,60,71,111,55,37,19,230,108,46.96,7,1,14.29,29,6,20.69,1,1,100,23,3,13.04,3,1,33.33,3,1,33.33,0,0,0,22,5,22.73,6,5,32,5,13,17,80,24,30,3,3,14,9,64.29,89,64,71.91,38,15,39.47,1,1,100,38,27,8,1,0,179,112,62.57,50,40,80,133,104,78.2,70,38,54.29,61,31,50.82,103,53,51.46,0,0,0,31,27,87.1,11,16.45,3,16.67,22.4,22.1,7.63
2024-09-29,UCONN Huskies - Georgetown Hoyas 1:3,United States. NCAA D1 Big East (W),96,Georgetown Hoyas,3-4-1-2 (49.2%),3,1.43,14,9,64.29,345,231,66.96,51.74,181,28,57,96,113,43,48,22,230,113,49.13,7,4,57.14,49,12,24.49,0,0,0,20,2,10,4,0,0,3,2,66.67,0,0,0,11,4,36.36,4,3,23,2,8,12,89,25,28.09,2,1,12,3,25,80,56,70,38,21,55.26,0,0,0,48,17,7,1,0,155,80,51.61,50,47,94,97,80,82.47,55,25,45.45,69,33,47.83,84,57,67.86,0,0,0,45,32,71.11,8,12.6,2.38,15.94,21.36,20.15,9.97
2024-09-27,Xavier Musketeers - UCONN Huskies 1:1,United States. NCAA D1 Big East (W),96,UCONN Huskies,4-4-2 (100.0%),1,2.96,17,9,52.94,378,265,70.11,42.54,164,30,79,55,104,50,44,10,241,120,49.79,4,1,25,36,11,30.56,1,1,100,27,4,14.81,4,0,0,2,1,50,1,1,100,16,7,43.75,6,7,30,8,11,14,97,38,39.18,2,1,15,6,40,89,67,75.28,26,7,26.92,1,1,100,41,10,10,0,0,177,113,63.84,43,34,79.07,107,83,77.57,61,26,42.62,61,39,63.93,111,65,58.56,0,0,0,36,30,83.33,14,16.11,2.63,16.14,17.04,19.15,12.83
2024-09-27,Xavier Musketeers - UCONN Huskies 1:1,United States. NCAA D1 Big East (W),96,Xavier Musketeers,3-4-2-1 (100.0%),1,1.46,15,6,40,505,367,72.67,57.46,153,16,55,82,104,37,46,21,241,110,45.64,8,3,37.5,43,10,23.26,1,1,100,22,4,18.18,3,2,66.67,0,0,0,0,0,0,13,6,46.15,6,7,25,1,8,14,89,22,24.72,0,1,17,9,52.94,97,59,60.82,26,16,61.54,2,1,50,42,12,11,1,0,192,104,54.17,72,64,88.89,175,151,86.29,66,15,22.73,73,31,42.47,91,52,57.14,0,0,0,23,18,78.26,7,15.93,3.66,13.07,19.1,20.23,6.98
2024-09-22,St John's Red Storm - UCONN Huskies 3:3,United States. NCAA D1 Big East (W),102,UCONN Huskies,4-2-3-1 (100.0%),3,2.86,25,9,36,404,289,71.53,52.31,162,16,51,95,137,31,71,35,372,161,43.28,15,5,33.33,64,18,28.13,0,0,0,21,5,23.81,9,5,55.56,6,1,16.67,1,1,100,32,12,37.5,11,10,36,3,19,28,173,36,20.81,1,3,6,4,66.67,112,86,76.79,42,21,50,3,2,66.67,49,5,9,0,0,176,117,66.48,63,59,93.65,105,76,72.38,56,28,50,73,44,60.27,94,62,65.96,1,0,0,45,42,93.33,3,14.65,2.38,13.86,18.82,18.69,6.42
2024-09-22,St John's Red Storm - UCONN Huskies 3:3,United States. NCAA D1 Big East (W),102,St John's Red Storm,4-1-4-1 (100.0%),3,1.58,6,4,66.67,400,279,69.75,47.69,173,40,87,46,110,56,43,11,372,204,54.84,1,1,100,18,4,22.22,0,0,0,29,2,6.9,3,1,33.33,1,0,0,0,0,0,7,1,14.29,1,4,10,1,1,9,112,26,23.21,0,3,25,9,36,173,137,79.19,42,20,47.62,4,3,75,50,32,9,0,0,174,101,58.05,48,41,85.42,98,79,80.61,57,29,50.88,36,15,41.67,88,35,39.77,1,1,100,32,28,87.5,18,15.91,2.78,14.25,12.62,17.72,7.78
